Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Paul McCartney	1942		English	Liverpool Oratorio;Standing Stone;Ecce Cor Meum	member ofThe BeatlesandWings	https://en.wikipedia.org/wiki/Paul_McCartney	4906941.0
John Williams	1932		American	also composer of film scores,The Five Sacred Trees		https://en.wikipedia.org/wiki/John_Williams	1860855.0
Frank Zappa	1940	1993.0	American	The Perfect Stranger;The Yellow Shark		https://en.wikipedia.org/wiki/Frank_Zappa	1735503.0
Vangelis	1943		Greek		electronic music	https://en.wikipedia.org/wiki/Vangelis	1011156.0
Leonard Bernstein	1918	1990.0	American	West Side Story;Chichester Psalms;Candide;Serenade;Mass	"jazz-influenced and pop-influence; also a composer of popular songs, under pseudonym ""Lenny Amber"""	https://en.wikipedia.org/wiki/Leonard_Bernstein	924195.0
Brian Eno	1948		English		ambient music,minimalism	https://en.wikipedia.org/wiki/Brian_Eno	908805.0
Claude Debussy	1862	1918.0	French	Clair de lune;Syrinx;La mer;Pelléas et Mélisande;Préludes	impressionism	https://en.wikipedia.org/wiki/Claude_Debussy	716378.0
Ludovico Einaudi	1955		Italian		minimalism	https://en.wikipedia.org/wiki/Ludovico_Einaudi	691505.0
Duke Ellington	1899	1974.0	American			https://en.wikipedia.org/wiki/Duke_Ellington	684932.0
Ennio Morricone	1928	2020.0	Italian		also a composer of film music:Once Upon a Time in America;The Mission;The Good, the Bad and the Ugly;A Fistful of Dollars;Once Upon a Time in the West	https://en.wikipedia.org/wiki/Ennio_Morricone	679017.0
Ilaiyaraaja	1943		Indian	How to Name it; Nothing but wind; Thiruvasagam -An Oratorio; The Music Messiah; India 24 hours;	Indian Classical (Carnatic), Western classical, Fusion, Jazz, Indian folk	https://en.wikipedia.org/wiki/Ilaiyaraaja	672418.0
George Gershwin	1898	1937.0	American	Rhapsody in Blue;Piano Concerto;An American in Paris;Porgy and Bess	jazz-influenced; also a composer of popular songs	https://en.wikipedia.org/wiki/George_Gershwin	614608.0
