Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Paul McCartney	1942		English	Liverpool Oratorio;Standing Stone;Ecce Cor Meum	member ofThe BeatlesandWings	https://en.wikipedia.org/wiki/Paul_McCartney	4906941.0	https://imslp.org/wiki/Category:McCartney,_Paul	False
John Williams	1932		American	also composer of film scores,The Five Sacred Trees		https://en.wikipedia.org/wiki/John_Williams	1860855.0	https://imslp.org/wiki/Category:Williams,_John	True
Frank Zappa	1940	1993.0	American	The Perfect Stranger;The Yellow Shark		https://en.wikipedia.org/wiki/Frank_Zappa	1735503.0	https://imslp.org/wiki/Category:Zappa,_Frank	False
Vangelis	1943		Greek		electronic music	https://en.wikipedia.org/wiki/Vangelis	1011156.0	https://imslp.org/wiki/Category:Vangelis	False
Leonard Bernstein	1918	1990.0	American	West Side Story;Chichester Psalms;Candide;Serenade;Mass	"jazz-influenced and pop-influence; also a composer of popular songs, under pseudonym ""Lenny Amber"""	https://en.wikipedia.org/wiki/Leonard_Bernstein	924195.0	https://imslp.org/wiki/Category:Bernstein,_Leonard	True
Brian Eno	1948		English		ambient music,minimalism	https://en.wikipedia.org/wiki/Brian_Eno	908805.0	https://imslp.org/wiki/Category:Eno,_Brian	False
Claude Debussy	1862	1918.0	French	Clair de lune;Syrinx;La mer;Pelléas et Mélisande;Préludes	impressionism	https://en.wikipedia.org/wiki/Claude_Debussy	716378.0	https://imslp.org/wiki/Category:Debussy,_Claude	True
Ludovico Einaudi	1955		Italian		minimalism	https://en.wikipedia.org/wiki/Ludovico_Einaudi	691505.0	https://imslp.org/wiki/Category:Einaudi,_Ludovico	False
Duke Ellington	1899	1974.0	American			https://en.wikipedia.org/wiki/Duke_Ellington	684932.0	https://imslp.org/wiki/Category:Ellington,_Duke	False
Ennio Morricone	1928	2020.0	Italian		also a composer of film music:Once Upon a Time in America;The Mission;The Good, the Bad and the Ugly;A Fistful of Dollars;Once Upon a Time in the West	https://en.wikipedia.org/wiki/Ennio_Morricone	679017.0	https://imslp.org/wiki/Category:Morricone,_Ennio	False
Ilaiyaraaja	1943		Indian	How to Name it; Nothing but wind; Thiruvasagam -An Oratorio; The Music Messiah; India 24 hours;	Indian Classical (Carnatic), Western classical, Fusion, Jazz, Indian folk	https://en.wikipedia.org/wiki/Ilaiyaraaja	672418.0	https://imslp.org/wiki/Category:Ilaiyaraaja	False
George Gershwin	1898	1937.0	American	Rhapsody in Blue;Piano Concerto;An American in Paris;Porgy and Bess	jazz-influenced; also a composer of popular songs	https://en.wikipedia.org/wiki/George_Gershwin	614608.0	https://imslp.org/wiki/Category:Gershwin,_George	True
Sergei Rachmaninoff	1873	1943.0	Russian	Piano Concerto No. 2andNo. 3;Rhapsody on a Theme of Paganini;Symphony No. 2;Prelude in C-sharp minor	Romanticism,post-romanticism	https://en.wikipedia.org/wiki/Sergei_Rachmaninoff	577723.0	https://imslp.org/wiki/Category:Rachmaninoff,_Sergei	True
Philip Glass	1937		American	Violin Concerto;operas; 8 symphonies	minimalism	https://en.wikipedia.org/wiki/Philip_Glass	542143.0	https://imslp.org/wiki/Category:Glass,_Philip	False
Dmitri Shostakovich	1906	1975.0	Russian	15 symphonies, includingNo. 5,No. 7,No. 9,No. 10, andNo. 11;Violin Concerto No. 1;Cello Concerto No. 1;Festive Overture; 15 string quartets, includingString Quartet No. 8;Piano Quintet;The Gadfly Suite	modernism,neoclassical,neoromantic,polystylism	https://en.wikipedia.org/wiki/Dmitri_Shostakovich	536755.0	https://imslp.org/wiki/Category:Shostakovich,_Dmitri	True
Jean-Michel Jarre	1948		French			https://en.wikipedia.org/wiki/Jean-Michel_Jarre	510966.0	https://imslp.org/wiki/Category:Jarre,_Jean-Michel	False
George Martin	1926	2016.0	English			https://en.wikipedia.org/wiki/George_Martin	509792.0	https://imslp.org/wiki/Category:Martin,_George	False
Erik Satie	1866	1925.0	French	Gymnopédies;Relâche;Socrate	minimalism,avant-garde,furniture music	https://en.wikipedia.org/wiki/Erik_Satie	502636.0	https://imslp.org/wiki/Category:Satie,_Erik	True
Igor Stravinsky	1882	1971.0	Russian	The Rite of Spring;The Firebird;Petrushka;Pulcinella;The Soldier's Tale;Symphony of Psalms;Symphonies of Wind Instruments;Canticum Sacrum;Threni	neoclassicism,neotonality, laterserialism,polystylism	https://en.wikipedia.org/wiki/Igor_Stravinsky	483004.0	https://imslp.org/wiki/Category:Stravinsky,_Igor	True
Gustav Mahler	1860	1911.0	Austrian	No. 5,No. 6,No. 9,No. 10 in F;Das Lied von der Erde;Kindertotenlieder	Romanticism;modernism	https://en.wikipedia.org/wiki/Gustav_Mahler	465917.0	https://imslp.org/wiki/Category:Mahler,_Gustav	True
Maurice Ravel	1875	1937.0	French	Daphnis et Chloé;Valses nobles et sentimentales;Rapsodie espagnole;Tzigane;Piano Concerto;Bolero; piano music	impressionism,neoclassicism	https://en.wikipedia.org/wiki/Maurice_Ravel	436724.0	https://imslp.org/wiki/Category:Ravel,_Maurice	True
John Cale	1942		Welsh			https://en.wikipedia.org/wiki/John_Cale	422700.0	https://imslp.org/wiki/Category:Cale,_John	False
Laurie Anderson	1947		American			https://en.wikipedia.org/wiki/Laurie_Anderson	412078.0	https://imslp.org/wiki/Category:Anderson,_Laurie	False
Antonín Dvořák	1841	1904.0	Czech	"Armida(opera), ""Zpěv z Lešetínského kováře"" (song)"	Romanticism, folk-influenced	https://en.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k	403861.0	https://imslp.org/wiki/Category:Dvořák,_Antonín	True
Sergei Prokofiev	1891	1953.0	Russian	Romeo and Juliet;The Love for Three Oranges;Classical Symphony;Symphony No. 5andNo. 6;Violin Concerto No. 1andNo. 2;Piano Concerto No. 2andNo. 3;Alexander Nevsky;Lieutenant Kijé;Peter and the Wolf	neoclassicism,Romanticism	https://en.wikipedia.org/wiki/Sergei_Prokofiev	396736.0	https://imslp.org/wiki/Category:Prokofiev,_Sergei	True
John Cage	1912	1992.0	American	"4'33"";Sonatas and Interludes"	Aleatoric music,extended technique,prepared piano	https://en.wikipedia.org/wiki/John_Cage	393246.0	https://imslp.org/wiki/Category:Cage,_John	True
Władysław Szpilman	1911	2000.0	Polish			https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Szpilman	379393.0	https://imslp.org/wiki/Category:Szpilman,_Władysław	False
André Previn	1929	2019.0	German/American	A Streetcar Named Desire		https://en.wikipedia.org/wiki/Andr%C3%A9_Previn	369790.0	https://imslp.org/wiki/Category:Previn,_André	False
Dave Brubeck	1920	2012.0	American			https://en.wikipedia.org/wiki/Dave_Brubeck	369784.0	https://imslp.org/wiki/Category:Brubeck,_Dave	False
Scott Joplin	1868	1917.0	American	Treemonisha	ragtime	https://en.wikipedia.org/wiki/Scott_Joplin	339144.0	https://imslp.org/wiki/Category:Joplin,_Scott	True
Giacomo Puccini	1858	1924.0	Italian	La fanciulla del West;Turandot	Romanticism;post-romanticism;verismo	https://en.wikipedia.org/wiki/Giacomo_Puccini	338704.0	https://imslp.org/wiki/Category:Puccini,_Giacomo	True
Wendy Carlos	1939		American	Switched-On Bach(record album of transcriptions, produced with the use of aMoog synthesizer)	Electronic music (original and transcriptions)	https://en.wikipedia.org/wiki/Wendy_Carlos	333993.0	https://imslp.org/wiki/Category:Carlos,_Wendy	False
Ryuichi Sakamoto	1952		Japanese			https://en.wikipedia.org/wiki/Ryuichi_Sakamoto	323750.0	https://imslp.org/wiki/Category:Sakamoto,_Ryuichi	False
Ralph Vaughan Williams	1872	1958.0	English	A Sea Symphony;A London Symphony;Sinfonia antartica;Fantasia on a Theme by Thomas Tallis;Fantasia on Greensleeves;The Lark Ascending	impressionism, folk-influenced	https://en.wikipedia.org/wiki/Ralph_Vaughan_Williams	321567.0	https://imslp.org/wiki/Category:Williams,_Ralph_Vaughan	False
Arnold Schoenberg	1874	1951.0	Austrian	Gurre-Lieder;Verklärte Nacht;Variations for Orchestra;Pierrot Lunaire;Five Pieces for Orchestra;Violin Concerto	Romanticism, laterexpressionismandserialism; founder of theSecond Viennese School	https://en.wikipedia.org/wiki/Arnold_Schoenberg	320754.0	https://imslp.org/wiki/Category:Schoenberg,_Arnold	True
Richard Strauss	1864	1949.0	German	An Alpine Symphony;Der Rosenkavalier; Oboe Concerto;Salome;Metamorphosen	Romanticism	https://en.wikipedia.org/wiki/Richard_Strauss	319356.0	https://imslp.org/wiki/Category:Strauss,_Richard	True
Edvard Grieg	1843	1907.0	Norwegian	Lyrische Stücke, Op. 71;Slåtter, Op. 73;Four Psalms, Op. 74		https://en.wikipedia.org/wiki/Edvard_Grieg	309006.0	https://imslp.org/wiki/Category:Grieg,_Edvard	True
Camille Saint-Saëns	1835	1921.0	French			https://en.wikipedia.org/wiki/Camille_Saint-Sa%C3%ABns	296302.0	https://imslp.org/wiki/Category:Saint-Saëns,_Camille	True
Joe Hisaishi	1950		Japanese		also notable as a film composer	https://en.wikipedia.org/wiki/Joe_Hisaishi	289703.0	https://imslp.org/wiki/Category:Hisaishi,_Joe	False
Jean Sibelius	1865	1957.0	Finnish	SymphoniesNo. 2,No. 4,No. 5,No. 7;Violin Concerto;String Quartet in D minor,Voces intimae;Pelléas et Mélisande;Pohjola's Daughter;Luonnotar;The Oceanides;Tapiola;The Tempest		https://en.wikipedia.org/wiki/Jean_Sibelius	288424.0	https://imslp.org/wiki/Category:Sibelius,_Jean	True
Jerry Goldsmith	1929	2004.0	American		also composer of film scores,Music for Orchestra;Fireworks	https://en.wikipedia.org/wiki/Jerry_Goldsmith	281149.0	https://imslp.org/wiki/Category:Goldsmith,_Jerry	True
Edward Elgar	1857	1934.0	English	Symphony No. 1;No. 2;Violin Concerto;Cello Concerto;The Dream of Gerontius;Pomp and Circumstance Marches	Romanticism	https://en.wikipedia.org/wiki/Edward_Elgar	279608.0	https://imslp.org/wiki/Category:Elgar,_Edward	True
Anthony Burgess	1917	1993.0	English			https://en.wikipedia.org/wiki/Anthony_Burgess	277420.0	https://imslp.org/wiki/Category:Burgess,_Anthony	False
Aaron Copland	1900	1990.0	American	Appalachian Spring(ballet);Billy the Kid(ballet);Rodeo(ballet);Fanfare for the Common Man;Clarinet Concerto	neoclassical, folk-influenced, jazz-influenced, earlytwelve-tone, laterserialism	https://en.wikipedia.org/wiki/Aaron_Copland	269764.0	https://imslp.org/wiki/Category:Copland,_Aaron	True
Béla Bartók	1881	1945.0	Hungarian	Concerto for Orchestra;six string quartets;The Miraculous Mandarin;Piano Concerto No. 1;Piano Concerto No. 2;Piano Concerto No. 3;Music for Strings, Percussion and Celesta;Sonata for Two Pianos and Percussion	neoclassicism, folk-influenced	https://en.wikipedia.org/wiki/B%C3%A9la_Bart%C3%B3k	255906.0	https://imslp.org/wiki/Category:Bartók,_Béla	True
Gustav Holst	1874	1934.0	English	The Planets;Beni Mora;Egdon Heath		https://en.wikipedia.org/wiki/Gustav_Holst	255474.0	https://imslp.org/wiki/Category:Holst,_Gustav	True
John Philip Sousa	1854	1932.0	American			https://en.wikipedia.org/wiki/John_Philip_Sousa	251063.0	https://imslp.org/wiki/Category:Sousa,_John_Philip	True
Benjamin Britten	1913	1976.0	English	War Requiem;Sinfonia da Requiem;Peter Grimes;The Young Person's Guide to the Orchestra;Cello Symphony	Neoclassicism,neotonality	https://en.wikipedia.org/wiki/Benjamin_Britten	247509.0	https://imslp.org/wiki/Category:Britten,_Benjamin	True
Keith Jarrett	1945		American			https://en.wikipedia.org/wiki/Keith_Jarrett	230863.0	https://imslp.org/wiki/Category:Jarrett,_Keith	False
Bernard Herrmann	1911	1975.0	American	Wuthering Heights		https://en.wikipedia.org/wiki/Bernard_Herrmann	223363.0	https://imslp.org/wiki/Category:Herrmann,_Bernard	True
Nikolai Rimsky-Korsakov	1844	1908.0	Russian			https://en.wikipedia.org/wiki/Nikolai_Rimsky-Korsakov	217361.0	https://imslp.org/wiki/Category:Rimsky-Korsakov,_Nikolai	True
Ivor Novello	1893	1951.0	Welsh			https://en.wikipedia.org/wiki/Ivor_Novello	215507.0	https://imslp.org/wiki/Category:Novello,_Ivor	True
Michael Howard	1922	2002.0	English			https://en.wikipedia.org/wiki/Michael_Howard	210613.0	https://imslp.org/wiki/Category:Howard,_Michael	False
Oscar Levant	1906	1972.0	American			https://en.wikipedia.org/wiki/Oscar_Levant	193153.0	https://imslp.org/wiki/Category:Levant,_Oscar	True
Vladimir Horowitz	1903	1989.0	American			https://en.wikipedia.org/wiki/Vladimir_Horowitz	190961.0	https://imslp.org/wiki/Category:Horowitz,_Vladimir	True
Maurice Jarre	1924	2009.0	French			https://en.wikipedia.org/wiki/Maurice_Jarre	180418.0	https://imslp.org/wiki/Category:Jarre,_Maurice	False
Alexander Scriabin	1872	1915.0	Russian	The Poem of Ecstasy;Prometheus: The Poem of Fire; piano sonatas nos. 4–10	mysticism	https://en.wikipedia.org/wiki/Alexander_Scriabin	176542.0	https://imslp.org/wiki/Category:Scriabin,_Alexander	True
Karlheinz Stockhausen	1928	2007.0	German	Kontra-Punkte;Gesang der Jünglinge;Klavierstücke;Gruppen;Kontakte;Hymnen;Stimmung;Mantra;Tierkreis;Inori, first six operas of theLichtcycle	avant-garde,electronic music,serialism,aleatory,intuitive music,formula composition,polystylism	https://en.wikipedia.org/wiki/Karlheinz_Stockhausen	175633.0	https://imslp.org/wiki/Category:Stockhausen,_Karlheinz	False
William Alwyn	1905	1985.0	English	Lyra Angelica;Elizabethan Dances	neoromantic	https://en.wikipedia.org/wiki/William_Alwyn	174425.0	https://imslp.org/wiki/Category:Alwyn,_William	False
Nobuo Uematsu	1959		Japanese	Liberi Fatali		https://en.wikipedia.org/wiki/Nobuo_Uematsu	173359.0	https://imslp.org/wiki/Category:Uematsu,_Nobuo	False
Arvo Pärt	1935		Estonian	Tabula Rasa;Fratres;Summa;Cantus In Memoriam Benjamin Britten	holy minimalism,polystylism	https://en.wikipedia.org/wiki/Arvo_P%C3%A4rt	169710.0	https://imslp.org/wiki/Category:Pärt,_Arvo	True
Aram Khachaturian	1903	1978.0	Armenian	Gayane(ballet, includesSabre Dance);Spartacus(ballet); concertos;Masquerade Suite		https://en.wikipedia.org/wiki/Aram_Khachaturian	157924.0	https://imslp.org/wiki/Category:Khachaturian,_Aram	True
Gabriel Fauré	1845	1924.0	French	Prométhée;Pénélope;Masques et bergamasques		https://en.wikipedia.org/wiki/Gabriel_Faur%C3%A9	157733.0	https://imslp.org/wiki/Category:Fauré,_Gabriel	True
Samuel Barber	1910	1981.0	American	Adagio for Strings;Violin Concerto;Symphony in One Movement;Vanessa	Romanticism	https://en.wikipedia.org/wiki/Samuel_Barber	156245.0	https://imslp.org/wiki/Category:Barber,_Samuel	True
Olivier Messiaen	1908	1992.0	French	Turangalila Symphony;Quartet for the End of Time;Vingt regards sur l'enfant-Jésus;Saint François d'Assise	mysticism,postimpressionist	https://en.wikipedia.org/wiki/Olivier_Messiaen	154336.0	https://imslp.org/wiki/Category:Messiaen,_Olivier	True
Steve Reich	1936		American	Piano Phase;Music for 18 Musicians	minimalism;Neoconservative postmodernism	https://en.wikipedia.org/wiki/Steve_Reich	154320.0	https://imslp.org/wiki/Category:Reich,_Steve	True
Carl Orff	1895	1982.0	German	Carmina Burana	polystylism	https://en.wikipedia.org/wiki/Carl_Orff	154207.0	https://imslp.org/wiki/Category:Orff,_Carl	False
Florence Price	1887	1953.0	American			https://en.wikipedia.org/wiki/Florence_Price	149155.0	https://imslp.org/wiki/Category:Price,_Florence	True
Kurt Weill	1900	1950.0	German/American	"2 symphonies; String Quartets; ""Die Dreigroschenoper"";Aufstieg und Fall der Stadt Mahagonny; ""Mahagonny-Songspiel""; several Broadway musicals"	neoclassical	https://en.wikipedia.org/wiki/Kurt_Weill	145638.0	https://imslp.org/wiki/Category:Weill,_Kurt	True
Nino Rota	1911	1979.0	Italian			https://en.wikipedia.org/wiki/Nino_Rota	143660.0	https://imslp.org/wiki/Category:Rota,_Nino	True
Karl Jenkins	1944		Welsh	The Armed Man;Adiemus;Requiem		https://en.wikipedia.org/wiki/Karl_Jenkins	140297.0	https://imslp.org/wiki/Category:Jenkins,_Karl	False
